player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
Gangadhari Mallesh,Gangadhari Mallesh,,,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,,10.0,10.0,,,10.0,10.0,10.0,10,10.0,10.0,,Raider,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,,,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,27.0,82.0,,,38.0,50.0,60.0,75,41.0,69.0,,1.0,1.0,,,9.0,0.9,1.0,10,8.0,1.0,,0.1,0.1,,,0.9,0.09,0.1,1.0,0.8,0.1,,3.0,3.0,,,3.0,3.0,3.0,3,3.0,3.0,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
,Gurvinder Singh,,,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,,,5.0,,,5.0,5.0,5.0,5,5.0,5.0,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,PAT,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,59.0,,,77.0,73.0,61.0,87,76.0,63.0,,,4.0,,,2.0,0.4,1.0,6,2.0,2.0,,,0.8,,,0.4,0.08,0.2,1.2,0.4,0.4,,,6.0,,,6.0,6.0,6.0,6,6.0,6.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
Jasmer Singh Gulia,,,Jasmer Singh Gulia,Jasmer Singh Gulia,Jasmer Singh Gulia,,Jasmer Singh Gulia,Jasmer Singh Gulia,,,16.0,,,16.0,16.0,16.0,,16,16.0,,,All Rounder,,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,,PUN,PUN,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,2.0,,,5.0,5.0,10.0,,22,5.0,,,5.0,,,4.0,46.0,2.88,,46,41.0,,,0.3125,,,0.25,2.875,0.18,,2.875,2.5625,,,7.0,,,7.0,7.0,7.0,,7,7.0,,,0.0,,,0.0,0.0,0.0,,0,0.0,,
,Jasvir Singh,Jasvir Singh,,,,Jasvir Singh,Jasvir Singh,,Jasvir Singh,Jasvir Singh,,4.0,4.0,,,,4.0,4,,4.0,4.0,,Raider,Raider,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,JAI,JAI,,,,JAI,JAI,,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,28.0,10.0,,,,15.0,46,,33.0,14.0,,25.0,2.0,,,,12.0,25,,15.0,1.0,,6.25,0.5,,,,3.0,6.25,,3.75,0.25,,3.0,3.0,,,,3.0,3,,3.0,3.0,,8.0,8.0,,,,8.0,8,,8.0,8.0
Jeeva Kumar,,,,Jeeva Kumar,Jeeva Kumar,,Jeeva Kumar,Jeeva Kumar,,,16.0,,,,16.0,16.0,,16,16.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,MUM,,,,MUM,MUM,,MUM,MUM,,,U Mumba,,,,U Mumba,U Mumba,,U Mumba,U Mumba,,,28.0,,,,11.0,18.0,,41,9.0,,,1.0,,,,31.0,1.94,,31,30.0,,,0.0625,,,,1.9375,0.12125,,1.9375,1.875,,,5.0,,,,5.0,5.0,,5,5.0,,,9.0,,,,9.0,9.0,,9,9.0,,
,Kashiling Adake,Kashiling Adake,,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,11.0,11.0,,11.0,11.0,11.0,11,11.0,11.0,11.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,8.0,6.0,,65.0,82.0,22.0,10,62.0,9.0,15.0,,75.0,3.0,,3.0,0.27,9.0,78,3.0,55.0,1.0,,6.818181818181818,0.2727272727272727,,0.2727272727272727,0.0245454545454545,0.8181818181818182,7.090909090909091,0.2727272727272727,5.0,0.0909090909090909,,2.0,2.0,,2.0,2.0,2.0,2,2.0,2.0,2.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,,,,Kuldeep Singh,Kuldeep Singh,,Kuldeep Singh,Kuldeep Singh,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,66.0,6.0,,97,63.0,,,,,,,3.0,3.0,,3,3.0,,,,,,,3.0,3.0,,3.0,3.0,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,Mahesh Goud,,,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,,,13.0,,,13.0,13.0,13.0,13,13.0,13.0,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,KOL,,,KOL,KOL,KOL,KOL,KOL,KOL,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,23.0,,,88.0,98.0,16.0,33,83.0,19.0,,,33.0,,,1.0,0.08,12.0,34,1.0,30.0,,,2.5384615384615383,,,0.0769230769230769,0.0061538461538461,0.9230769230769232,2.6153846153846154,0.0769230769230769,2.3076923076923075,,,4.0,,,4.0,4.0,4.0,4,4.0,4.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
,Mahipal Narwal,,,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,,,4.0,,,4.0,4.0,4.0,4,4.0,4.0,,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,PAT,PAT,PAT,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,58.0,,,42.0,16.0,62.0,67,39.0,58.0,,,5.0,,,8.0,2.0,1.0,13,8.0,3.0,,,1.25,,,2.0,0.5,0.25,3.25,2.0,0.75,,,6.0,,,6.0,6.0,6.0,6,6.0,6.0,,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,
Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15,15.0,15.0,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,3.0,16.0,7.0,3.0,1.0,1.0,31.0,4,1.0,16.0,,5.0,45.0,2.0,5.0,61.0,4.07,6.0,106,56.0,37.0,,0.3333333333333333,3.0,0.1333333333333333,0.3333333333333333,4.066666666666666,0.2713333333333333,0.4,7.066666666666666,3.7333333333333334,2.466666666666667,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
Manoj Kumar,,,Manoj Kumar,Manoj Kumar,Manoj Kumar,,Manoj Kumar,Manoj Kumar,,,11.0,,,11.0,11.0,11.0,,11,11.0,,,Defender,,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,HYD,,,HYD,HYD,HYD,,HYD,HYD,,,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,6.0,,,11.0,26.0,25.0,,57,28.0,,,4.0,,,1.0,17.0,1.55,,17,13.0,,,0.3636363636363636,,,0.0909090909090909,1.5454545454545454,0.1409090909090909,,1.5454545454545454,1.181818181818182,,,8.0,,,8.0,8.0,8.0,,8,8.0,,,9.0,,,9.0,9.0,9.0,,9,9.0,,
Mohit Chhillar,,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,Mohit Chhillar,Mohit Chhillar,,,13.0,,,13.0,13.0,13.0,,13,13.0,,,Defender,,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,MUM,,,MUM,MUM,MUM,,MUM,MUM,,,U Mumba,,,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,,,21.0,,,1.0,4.0,4.0,,23,4.0,,,2.0,,,6.0,46.0,3.54,,46,44.0,,,0.1538461538461538,,,0.4615384615384615,3.5384615384615383,0.2723076923076923,,3.5384615384615383,3.3846153846153846,,,5.0,,,5.0,5.0,5.0,,5,5.0,,,9.0,,,9.0,9.0,9.0,,9,9.0,,
,Navneet Gautam,,,Navneet Gautam,Navneet Gautam,,Navneet Gautam,Navneet Gautam,,,,7.0,,,7.0,7.0,,7,7.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,JAI,,,JAI,JAI,,JAI,JAI,,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,80.0,,,64.0,72.0,,92,61.0,,,,1.0,,,3.0,0.43,,4,3.0,,,,0.1428571428571428,,,0.4285714285714285,0.0614285714285714,,0.5714285714285714,0.4285714285714285,,,,3.0,,,3.0,3.0,,3,3.0,,,,9.0,,,9.0,9.0,,9,9.0,,
Nilesh Shinde,Nilesh Shinde,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,16.0,16.0,,16.0,16.0,16.0,,16,16.0,16.0,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,KOL,,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,7.0,63.0,,12.0,7.0,15.0,,31,10.0,64.0,,4.0,2.0,,1.0,34.0,2.13,,36,30.0,2.0,,0.25,0.125,,0.0625,2.125,0.133125,,2.25,1.875,0.125,,4.0,4.0,,4.0,4.0,4.0,,4,4.0,4.0,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,9.0,
,,,,Nitin More,Nitin More,,Nitin More,Nitin More,,,,,,,10.0,10.0,,10,10.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,,,,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,,,,52.0,66.0,,90,47.0,,,,,,,5.0,0.5,,5,5.0,,,,,,,0.5,0.05,,0.5,0.5,,,,,,,4.0,4.0,,4,4.0,,,,,,,9.0,9.0,,9,9.0,,
,Pravin Niwale,,,,,,Pravin Niwale,,Pravin Niwale,,,2.0,,,,,,2,,2.0,,,Raider,,,,,,Raider,,Raider,,,,,,,,,,,,,,DEL,,,,,,DEL,,DEL,,,Dabang Delhi K.C.,,,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,79.0,,,,,,113,,70.0,,,1.0,,,,,,1,,1.0,,,0.5,,,,,,0.5,,0.5,,,2.0,,,,,,2,,2.0,,,8.0,,,,,,8,,8.0,
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,13.0,13.0,13.0,,13.0,13.0,13.0,13,13.0,13.0,13.0,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,HYD,HYD,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,20.0,4.0,28.0,,33.0,49.0,23.0,5,36.0,4.0,4.0,2.0,87.0,1.0,,12.0,0.92,9.0,99,10.0,77.0,4.0,0.1538461538461538,6.6923076923076925,0.0769230769230769,,0.9230769230769232,0.0707692307692307,0.6923076923076923,7.615384615384615,0.7692307692307693,5.923076923076923,0.3076923076923077,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
