season,team_id,team_name,team-average-raid-points_match_played,team-avg-points-scored_match_played,team-all-outs-conceded_match_played,team-successful-tackle-percent_match_played,team-super-raid_match_played,team-raid_match_played,team-successful-raid-percent_match_played,team-dod-raid-points_match_played,team-super-tackles_match_played,team-raid-points_match_played,team-successful-raids_match_played,team-total-points-conceded_match_played,team-tackle-points_match_played,team-total-points_match_played,team-successful-tackles-per-match_match_played,team-all-outs-inflicted_match_played,team-average-tackle-points_match_played,team-successful-tackles_match_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match,team_name,team_name
5,30,U.P. Yoddhas,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2,2,3,10,2,7,2,10,5,2,3,2,8,4,9,8,9,8,20.04,33.13,32,33.21,23,1002,35.53,83,18,461,356,762,202,762,7.96,23,8.78,183,0.871304348,1.440434783,1.391304348,1.443913043,1,43.56521739,1.544782609,3.608695652,0.782608696,20.04347826,15.47826087,33.13043478,8.782608696,33.13043478,0.346086957,1,0.38173913,7.956521739,U.P. Yoddhas,U.P. Yoddhas
5,31,Gujarat Giants,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,3,12,1,7,3,8,3,10,6,5,12,2,2,2,2,2,2,16.83,32.29,17,48.69,11,1055,31.47,98,12,404,332,641,254,775,10.08,36,10.58,242,0.70125,1.345416667,0.708333333,2.02875,0.458333333,43.95833333,1.31125,4.083333333,0.5,16.83333333,13.83333333,26.70833333,10.58333333,32.29166667,0.42,1.5,0.440833333,10.08333333,Gujarat Giants,Gujarat Giants
2,1,Bengaluru Bulls,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,4,2,4,,3,,,1,8,2,2,5,4,2,,1,4,3,15.69,31.69,9,,10,,,81,6,251,202,457,165,507,,13,10.31,158,0.980625,1.980625,0.5625,,0.625,,,5.0625,0.375,15.6875,12.625,28.5625,10.3125,31.6875,,0.8125,0.644375,9.875,Bengaluru Bulls,Bengaluru Bulls
2,2,Dabang Delhi K.C.,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,5,5,2,,2,,,6,5,7,7,4,7,6,,8,7,6,15.5,28.29,12,,14,,,60,14,217,161,464,136,396,,4,9.71,122,1.107142857,2.020714286,0.857142857,,1,,,4.285714286,1,15.5,11.5,33.14285714,9.714285714,28.28571429,,0.285714286,0.693571429,8.714285714,Dabang Delhi K.C.,Dabang Delhi K.C.
2,3,Jaipur Pink Panthers,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,2,3,6,,7,,,8,2,4,5,8,5,5,,2,5,5,16.57,31.57,6,,5,,,47,18,232,188,399,142,442,,12,10.14,124,1.183571429,2.255,0.428571429,,0.357142857,,,3.357142857,1.285714286,16.57142857,13.42857143,28.5,10.14285714,31.57142857,,0.857142857,0.724285714,8.857142857,Jaipur Pink Panthers,Jaipur Pink Panthers
2,4,Bengal Warriors,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,8,8,5,,4,,,4,1,8,8,6,6,8,,6,6,7,13.14,26.21,8,,9,,,62,20,184,136,430,137,367,,6,9.79,116,0.938571429,1.872142857,0.571428571,,0.642857143,,,4.428571429,1.428571429,13.14285714,9.714285714,30.71428571,9.785714286,26.21428571,,0.428571429,0.699285714,8.285714286,Bengal Warriors,Bengal Warriors
2,5,U Mumba,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,6,4,8,,6,,,2,3,3,3,7,1,3,,4,1,1,14.81,30.56,5,,7,,,79,16,237,189,426,196,489,,11,12.25,180,0.925625,1.91,0.3125,,0.4375,,,4.9375,1,14.8125,11.8125,26.625,12.25,30.5625,,0.6875,0.765625,11.25,U Mumba,U Mumba
2,6,Patna Pirates,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,7,7,3,,8,,,3,6,5,4,2,3,4,,7,3,4,14.25,27.81,10,,4,,,63,12,228,189,488,166,445,,5,10.38,153,0.890625,1.738125,0.625,,0.25,,,3.9375,0.75,14.25,11.8125,30.5,10.375,27.8125,,0.3125,0.64875,9.5625,Patna Pirates,Patna Pirates
2,7,Puneri Paltan,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,3,6,1,,5,,,7,7,6,6,3,8,7,,5,8,8,15.93,27.93,14,,8,,,56,10,223,173,465,115,391,,7,8.21,104,1.137857143,1.995,1,,0.571428571,,,4,0.714285714,15.92857143,12.35714286,33.21428571,8.214285714,27.92857143,,0.5,0.586428571,7.428571429,Puneri Paltan,Puneri Paltan
2,8,Telugu Titans,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,1,1,7,,1,,,5,4,1,1,1,2,1,,3,2,2,21.5,36.56,6,,16,,,61,14,344,269,493,174,585,,12,10.88,158,1.34375,2.285,0.375,,1,,,3.8125,0.875,21.5,16.8125,30.8125,10.875,36.5625,,0.75,0.68,9.875,Telugu Titans,Telugu Titans
3,1,Bengaluru Bulls,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,7,8,5,,3,,,3,6,7,7,3,8,8,,4,8,8,14.93,25.93,8,,9,,,68,7,209,162,465,101,363,,5,7.21,94,1.066428571,1.852142857,0.571428571,,0.642857143,,,4.857142857,0.5,14.92857143,11.57142857,33.21428571,7.214285714,25.92857143,,0.357142857,0.515,6.714285714,Bengaluru Bulls,Bengaluru Bulls
3,2,Dabang Delhi K.C.,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,3,6,2,,6,,,7,5,6,6,1,7,6,,6,7,7,16.64,27.43,12,,5,,,53,13,233,177,526,111,384,,4,7.93,98,1.188571429,1.959285714,0.857142857,,0.357142857,,,3.785714286,0.928571429,16.64285714,12.64285714,37.57142857,7.928571429,27.42857143,,0.285714286,0.566428571,7,Dabang Delhi K.C.,Dabang Delhi K.C.
3,3,Jaipur Pink Panthers,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,8,7,6,,4,,,6,1,8,8,7,5,7,,8,5,6,13.79,26,7,,8,,,58,16,193,151,427,117,364,,3,8.36,100,0.985,1.857142857,0.5,,0.571428571,,,4.142857143,1.142857143,13.78571429,10.78571429,30.5,8.357142857,26,,0.214285714,0.597142857,7.142857143,Jaipur Pink Panthers,Jaipur Pink Panthers
3,4,Bengal Warriors,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,6,5,1,,7,,,4,4,5,2,4,4,4,,7,4,4,15.63,28.75,14,,4,,,68,13,250,218,450,150,460,,4,9.38,137,0.976875,1.796875,0.875,,0.25,,,4.25,0.8125,15.625,13.625,28.125,9.375,28.75,,0.25,0.58625,8.5625,Bengal Warriors,Bengal Warriors
3,5,U Mumba,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,4,3,7,,5,,,5,8,3,3,8,3,3,,3,3,3,15.81,31.38,5,,7,,,59,6,253,210,398,169,502,,13,10.56,163,0.988125,1.96125,0.3125,,0.4375,,,3.6875,0.375,15.8125,13.125,24.875,10.5625,31.375,,0.8125,0.66,10.1875,U Mumba,U Mumba
3,6,Patna Pirates,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,1,1,8,,1,,,2,7,1,1,2,2,1,,1,2,1,20.25,37.13,2,,16,,,71,7,324,244,468,182,594,,17,11.38,175,1.265625,2.320625,0.125,,1,,,4.4375,0.4375,20.25,15.25,29.25,11.375,37.125,,1.0625,0.71125,10.9375,Patna Pirates,Patna Pirates
3,7,Puneri Paltan,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,5,2,3,,2,,,1,3,4,5,6,1,2,,2,1,2,15.69,31.88,8,,9,,,86,13,251,206,433,187,510,,13,11.69,174,0.980625,1.9925,0.5,,0.5625,,,5.375,0.8125,15.6875,12.875,27.0625,11.6875,31.875,,0.8125,0.730625,10.875,Puneri Paltan,Puneri Paltan
3,8,Telugu Titans,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,2,4,4,,8,,,8,2,2,4,5,6,5,,5,6,5,18.14,30.5,8,,3,,,45,15,254,209,437,117,427,,5,8.36,101,1.295714286,2.178571429,0.571428571,,0.214285714,,,3.214285714,1.071428571,18.14285714,14.92857143,31.21428571,8.357142857,30.5,,0.357142857,0.597142857,7.214285714,Telugu Titans,Telugu Titans
4,1,Bengaluru Bulls,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,8,8,3,,8,,,6,4,8,8,7,7,8,,8,6,8,14.36,25.71,8,,4,,,61,15,201,158,415,124,360,,4,8.86,109,1.025714286,1.836428571,0.571428571,,0.285714286,,,4.357142857,1.071428571,14.35714286,11.28571429,29.64285714,8.857142857,25.71428571,,0.285714286,0.632857143,7.785714286,Bengaluru Bulls,Bengaluru Bulls
4,2,Dabang Delhi K.C.,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,6,4,2,,1,,,1,2,6,7,8,4,5,,7,3,6,16.14,29.93,10,,11,,,86,18,226,166,412,136,419,,5,9.71,116,1.152857143,2.137857143,0.714285714,,0.785714286,,,6.142857143,1.285714286,16.14285714,11.85714286,29.42857143,9.714285714,29.92857143,,0.357142857,0.693571429,8.285714286,Dabang Delhi K.C.,Dabang Delhi K.C.
4,3,Jaipur Pink Panthers,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,2,5,8,,5,,,2,3,2,4,4,5,4,,3,8,4,16.88,29.69,4,,6,,,78,16,270,208,451,136,475,,8,8.5,119,1.055,1.855625,0.25,,0.375,,,4.875,1,16.875,13,28.1875,8.5,29.6875,,0.5,0.53125,7.4375,Jaipur Pink Panthers,Jaipur Pink Panthers
4,4,Bengal Warriors,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,7,7,5,,6,,,7,6,7,6,5,6,7,,4,5,5,14.43,27,7,,4,,,61,8,202,171,438,125,378,,7,8.93,117,1.030714286,1.928571429,0.5,,0.285714286,,,4.357142857,0.571428571,14.42857143,12.21428571,31.28571429,8.928571429,27,,0.5,0.637857143,8.357142857,Bengal Warriors,Bengal Warriors
4,5,U Mumba,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,5,6,1,,7,,,8,5,5,5,6,8,6,,6,7,7,16.21,28.57,11,,4,,,42,11,227,189,418,121,400,,6,8.64,110,1.157857143,2.040714286,0.785714286,,0.285714286,,,3,0.785714286,16.21428571,13.5,29.85714286,8.642857143,28.57142857,,0.428571429,0.617142857,7.857142857,U Mumba,U Mumba
4,6,Patna Pirates,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,4,3,6,,4,,,5,1,4,3,2,1,3,,5,1,2,16.5,30.75,6,,7,,,72,26,264,209,466,172,492,,7,10.75,145,1.03125,1.921875,0.375,,0.4375,,,4.5,1.625,16.5,13.0625,29.125,10.75,30.75,,0.4375,0.671875,9.0625,Patna Pirates,Patna Pirates
4,7,Puneri Paltan,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,1,1,7,,2,,,3,7,1,1,1,3,1,,2,4,3,18.13,32.19,5,,10,,,76,6,290,238,491,147,515,,10,9.19,140,1.133125,2.011875,0.3125,,0.625,,,4.75,0.375,18.125,14.875,30.6875,9.1875,32.1875,,0.625,0.574375,8.75,Puneri Paltan,Puneri Paltan
4,8,Telugu Titans,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,3,2,4,,3,,,4,8,3,2,3,2,2,,1,2,1,16.69,31.63,8,,7,,,76,5,267,210,454,162,506,,12,10.13,157,1.043125,1.976875,0.5,,0.4375,,,4.75,0.3125,16.6875,13.125,28.375,10.125,31.625,,0.75,0.633125,9.8125,Telugu Titans,Telugu Titans
8,1,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,1,4,2,4,3,1,12,2,1,1,2,2,1,3,3,3,2,22.29,37.63,30,41.37,12,992,43.65,38,26,535,433,835,261,903,9.79,34,10.88,235,0.92875,1.567916667,1.25,1.72375,0.5,41.33333333,1.81875,1.583333333,1.083333333,22.29166667,18.04166667,34.79166667,10.875,37.625,0.407916667,1.416666667,0.453333333,9.791666667,Bengaluru Bulls,Bengaluru Bulls
8,2,Dabang Delhi K.C.,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,8,5,9,7,4,3,10,11,3,2,4,11,5,11,10,11,10,21.04,33.5,28,35.26,10,977,42.37,55,11,505,414,801,200,804,7.88,25,8.33,189,0.876666667,1.395833333,1.166666667,1.469166667,0.416666667,40.70833333,1.765416667,2.291666667,0.458333333,21.04166667,17.25,33.375,8.333333333,33.5,0.328333333,1.041666667,0.347083333,7.875,Dabang Delhi K.C.,Dabang Delhi K.C.
8,3,Jaipur Pink Panthers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5,5,9,11,9,10,2,3,12,6,4,12,8,6,5,7,8,7,20.5,34.36,26,34.79,9,894,42.62,85,10,451,381,742,209,756,9.05,26,9.5,199,0.931818182,1.561818182,1.181818182,1.581363636,0.409090909,40.63636364,1.937272727,3.863636364,0.454545455,20.5,17.31818182,33.72727273,9.5,34.36363636,0.411363636,1.181818182,0.431818182,9.045454545,Jaipur Pink Panthers,Jaipur Pink Panthers
8,4,Bengal Warriors,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,6,10,12,2,11,4,6,10,4,7,7,12,7,12,5,12,12,21.68,34.27,25,34.02,17,892,39.57,73,12,477,353,772,178,754,7.55,27,8.09,166,0.985454545,1.557727273,1.136363636,1.546363636,0.772727273,40.54545455,1.798636364,3.318181818,0.545454545,21.68181818,16.04545455,35.09090909,8.090909091,34.27272727,0.343181818,1.227272727,0.367727273,7.545454545,Bengal Warriors,Bengal Warriors
8,5,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,11,7,7,10,12,7,11,3,11,10,10,7,12,8,9,7,8,19.18,32.55,28,37.16,9,876,38.7,53,22,422,339,750,216,716,8.82,25,9.82,194,0.871818182,1.479545455,1.272727273,1.689090909,0.409090909,39.81818182,1.759090909,2.409090909,1,19.18181818,15.40909091,34.09090909,9.818181818,32.54545455,0.400909091,1.136363636,0.446363636,8.818181818,U Mumba,U Mumba
8,6,Patna Pirates,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,8,2,12,1,11,2,9,2,8,5,5,11,1,2,1,1,1,1,19.54,36.5,19,46.1,9,1014,37.48,90,17,469,380,746,289,876,11.33,38,12.04,272,0.814166667,1.520833333,0.791666667,1.920833333,0.375,42.25,1.561666667,3.75,0.708333333,19.54166667,15.83333333,31.08333333,12.04166667,36.5,0.472083333,1.583333333,0.501666667,11.33333333,Patna Pirates,Patna Pirates
8,7,Puneri Paltan,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9,4,3,5,8,5,6,1,4,7,6,5,3,4,2,4,2,3,19.52,35.39,32,38.82,10,945,39.05,102,22,449,369,792,253,814,10.04,33,11,231,0.848695652,1.538695652,1.391304348,1.687826087,0.434782609,41.08695652,1.697826087,4.434782609,0.956521739,19.52173913,16.04347826,34.43478261,11,35.39130435,0.436521739,1.434782609,0.47826087,10.04347826,Puneri Paltan,Puneri Paltan
8,8,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,7,10,2,8,3,8,11,8,7,10,12,1,9,11,9,12,9,9,19.55,32.77,35,35.51,14,907,35.94,62,17,430,326,851,207,721,8.64,21,9.41,190,0.888636364,1.489545455,1.590909091,1.614090909,0.636363636,41.22727273,1.633636364,2.818181818,0.772727273,19.54545455,14.81818182,38.68181818,9.409090909,32.77272727,0.392727273,0.954545455,0.427727273,8.636363636,Telugu Titans,Telugu Titans
8,28,Haryana Steelers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,6,7,6,3,5,9,5,9,6,9,8,8,6,8,6,6,6,6,20,33.68,28,39.25,11,898,39.2,56,19,440,352,769,218,741,9.05,26,9.91,199,0.909090909,1.530909091,1.272727273,1.784090909,0.5,40.81818182,1.781818182,2.545454545,0.863636364,20,16,34.95454545,9.909090909,33.68181818,0.411363636,1.181818182,0.450454545,9.045454545,Haryana Steelers,Haryana Steelers
8,29,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,9,1,4,12,7,12,4,9,12,11,6,5,10,4,8,4,5,18.95,33.36,36,38.83,8,919,35.58,83,15,417,327,776,227,734,9.64,25,10.32,212,0.861363636,1.516363636,1.636363636,1.765,0.363636364,41.77272727,1.617272727,3.772727273,0.681818182,18.95454545,14.86363636,35.27272727,10.31818182,33.36363636,0.438181818,1.136363636,0.469090909,9.636363636,Tamil Thalaivas,Tamil Thalaivas
8,30,U.P. Yoddhas,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,3,11,6,1,1,8,5,1,2,3,3,4,3,7,2,5,4,21.46,36.04,24,37.85,22,1015,38.62,78,27,515,392,832,242,865,8.96,35,10.08,215,0.894166667,1.501666667,1,1.577083333,0.916666667,42.29166667,1.609166667,3.25,1.125,21.45833333,16.33333333,34.66666667,10.08333333,36.04166667,0.373333333,1.458333333,0.42,8.958333333,U.P. Yoddhas,U.P. Yoddhas
8,31,Gujarat Giants,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,12,8,10,6,6,10,7,5,8,9,9,10,9,10,11,10,11,19.3,32.04,27,34.97,11,941,36.98,68,22,444,348,755,207,737,8.04,23,9,185,0.839130435,1.393043478,1.173913043,1.520434783,0.47826087,40.91304348,1.607826087,2.956521739,0.956521739,19.30434783,15.13043478,32.82608696,9,32.04347826,0.349565217,1,0.391304348,8.043478261,Gujarat Giants,Gujarat Giants
1,1,Bengaluru Bulls,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,8,6,7,,7,,,5,6,5,6,5,2,4,,4,2,2,18.19,31.13,30,,7,,,39,10,291,230,479,163,498,,40,10.19,153,1.136875,1.945625,1.875,,0.4375,,,2.4375,0.625,18.1875,14.375,29.9375,10.1875,31.125,,2.5,0.636875,9.5625,Bengaluru Bulls,Bengaluru Bulls
1,2,Dabang Delhi K.C.,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,4,4,3,,8,,,8,7,6,5,7,5,6,,5,4,5,20.36,32.57,46,,5,,,31,10,285,247,471,134,456,,36,9.57,124,1.454285714,2.326428571,3.285714286,,0.357142857,,,2.214285714,0.714285714,20.35714286,17.64285714,33.64285714,9.571428571,32.57142857,,2.571428571,0.683571429,8.857142857,Dabang Delhi K.C.,Dabang Delhi K.C.
1,3,Jaipur Pink Panthers,16,16,16,,16,,,16,16,16,16,16,16,16,,16,16,16,3,1,6,,5,,,1,4,2,3,8,1,1,,1,1,1,21.5,36.19,30,,9,,,50,12,344,281,458,170,579,,58,10.63,158,1.34375,2.261875,1.875,,0.5625,,,3.125,0.75,21.5,17.5625,28.625,10.625,36.1875,,3.625,0.664375,9.875,Jaipur Pink Panthers,Jaipur Pink Panthers
1,4,Bengal Warriors,14,14,14,,14,,,14,14,14,14,14,14,14,,14,14,14,5,7,2,,4,,,6,2,7,7,2,6,7,,8,6,6,20.21,30.71,50,,11,,,32,16,283,220,515,122,430,,22,8.71,106,1.443571429,2.193571429,3.571428571,,0.785714286,,,2.285714286,1.142857143,20.21428571,15.71428571,36.78571429,8.714285714,30.71428571,,1.571428571,0.622142857,7.571428571,Bengal Warriors,Bengal Warriors
